Scheme_name,Category,Category_Equity,Category_Debt,Category_Hybrid,Expense_ratio,Risk_factor,age_in_months,Rating,Net_assets,Return_1wk,Return_1m,Return_3m,Return_6m,Return_1yr,Return_3yr,Return_5yr,Return_10yr,Equity_fund_style_Growth,Equity_fund_style_Value,Equity_fund_style_Blend,Standard Deviation,Sharpe Ratio,Sortino Ratio,NAV_latest,NAV_previous,NAV_52wk_high,NAV_52wk_low,Minimum_Investment,Fund_Manager_Tenure,#_Funds_managed,dbsc_1,agglomerative_1,hierarchy_1,kmeans_1,kmeans_2
SBI Magnum Children's Benefit Fund - Savings Plan - Direct Plan,HY-CH,0,0,1,0.86,3,122,4,90,0.29,-0.2,-0.29,0.95,3.05,15.15,8.32,12.57,1,0,0,7.62,1.04,1.34,84.417,84.263,85.156,79.555,5000,10.2,9,0,3,3,3,4
SBI Multi Asset Allocation Fund - Direct Plan,HY-MAA,0,0,1,0.88,4,122,3,609,0.72,1.02,-1.06,1.79,5.93,16.05,9.62,10.63,0,0,1,9.86,0.77,1.09,42.448,42.492,43.586,38.005,5000,3.1,3,0,3,3,3,4
Shriram Balanced Advantage Fund - Direct Plan,HY-DAA,0,0,1,0.6,5,44,3,48,0.53,-1.61,-1.92,-2.24,2.88,13.88,0.0,0.0,1,0,0,9.38,0.74,1.03,13.967,13.957,14.697,13.089,5000,3.3,3,0,3,3,3,4
Shriram Hybrid Equity Fund - Direct Plan,HY-AH,0,0,1,0.65,5,112,3,57,0.35,-1.7,-3.36,-3.51,0.7,17.68,8.94,0.0,1,0,0,15.26,0.55,0.67,24.636,24.608,26.321,22.535,5000,6.5,1,0,3,3,3,4
Sundaram Aggressive Hybrid Fund - Direct Plan,HY-AH,0,0,1,0.65,4,122,3,2981,0.85,-1.43,-4.87,-3.72,1.21,21.34,10.42,12.33,1,0,0,16.42,0.66,0.73,122.565,122.182,131.801,111.114,100,1.2,7,0,3,3,3,4
Sundaram Arbitrage Fund - Direct Plan,HY-AR,0,0,1,0.28,1,83,1,108,0.15,0.39,1.7,3.22,5.34,4.14,3.31,0.0,1,0,0,0.69,0.36,0.54,12.863,12.85,12.863,12.222,100,1.2,27,0,3,3,3,4
Sundaram Balanced Advantage Fund - Direct Plan,HY-DAA,0,0,1,0.6,3,122,5,1533,0.54,-1.23,-3.61,-2.4,3.91,15.94,10.32,12.07,1,0,0,8.01,1.32,2.64,29.071,29.012,30.675,26.376,100,1.2,7,0,3,3,3,4
Sundaram Debt Oriented Hybrid Fund - Direct Plan,HY-CH,0,0,1,1.2,3,122,2,30,0.36,-0.21,-0.36,1.45,4.05,11.63,6.19,8.53,1,0,0,6.54,0.71,0.93,26.209,26.137,26.439,24.524,5000,10.2,27,0,3,3,3,4
Sundaram Equity Savings Fund - Direct Plan,HY-EQ S,0,0,1,0.54,3,250,4,415,0.29,-0.8,-1.33,-0.5,3.92,13.5,8.18,7.97,1,0,0,8.35,0.77,0.87,57.052,56.939,59.044,52.889,100,1.2,27,-1,3,3,3,4
Tata Arbitrage Fund - Direct Plan,HY-AR,0,0,1,0.28,0,51,5,5926,0.12,0.4,1.84,3.43,5.65,5.02,0.0,0.0,0,0,1,0.74,1.44,2.07,12.643,12.631,12.643,11.974,5000,4.3,6,-1,3,3,3,2
Tata Balanced Advantage Fund - Direct Plan,HY-DAA,0,0,1,0.28,3,50,4,6397,0.6,-0.31,-1.22,0.9,5.64,18.67,0.0,0.0,1,0,0,11.27,0.92,1.1,16.228,16.204,16.681,14.649,5000,4.2,6,0,3,3,3,4
Tata Equity Savings Fund - Direct Plan,HY-EQ S,0,0,1,0.12,3,122,3,139,0.42,-0.31,-0.51,1.29,3.27,12.01,7.57,7.98,1,0,0,7.29,0.71,0.77,46.805,46.737,47.54,44.008,5000,6.0,6,0,3,3,3,4
Tata Hybrid Equity Fund - Direct Plan,HY-AH,0,0,1,1.05,5,122,3,3166,1.07,-1.13,-3.57,-0.81,6.16,22.74,10.54,13.91,1,0,0,16.71,0.73,0.84,342.691,341.853,364.086,301.0,5000,6.0,6,0,3,3,3,4
Tata Retirement Savings Fund - Conservative Plan - Direct Plan,HY-CH,0,0,1,0.97,3,122,2,167,0.28,-0.49,-0.65,-0.35,2.1,9.48,7.1,9.87,1,0,0,5.89,0.57,0.72,28.318,28.267,28.749,26.715,5000,7.0,6,0,3,3,3,4
Tata Retirement Savings Fund - Moderate Plan - Direct Plan,HY-AH,0,0,1,0.68,5,122,3,1558,0.94,-1.22,-3.27,-4.97,0.48,19.25,9.36,15.45,1,0,0,16.21,0.57,0.63,47.578,47.44,50.72,43.236,5000,7.0,6,0,3,3,3,4
Union Arbitrage Fund - Direct Plan,HY-AR,0,0,1,0.51,0,49,3,72,0.14,0.43,1.75,3.25,4.98,4.37,0.0,0.0,1,0,0,0.72,0.67,1.03,12.226,12.213,12.226,11.653,1000,4.1,2,0,3,3,3,4
Union Balanced Advantage Fund - Direct Plan,HY-DAA,0,0,1,1.21,2,63,3,1679,0.5,-0.62,-0.81,0.63,3.64,18.21,10.21,0.0,1,0,0,12.77,0.74,0.99,15.94,15.92,16.23,14.64,1000,5.3,1,0,3,3,3,4
Union Equity Savings Fund - Direct Plan,HY-EQ S,0,0,1,1.75,2,55,2,134,0.44,-0.65,-0.87,0.51,2.01,10.79,0.0,0.0,1,0,0,7.7,0.55,0.68,13.73,13.71,13.99,12.92,1000,4.7,4,0,3,3,3,4
UTI Arbitrage Fund - Direct Plan,HY-AR,0,0,1,0.35,0,122,3,3533,0.14,0.41,1.8,3.34,5.42,4.74,5.48,6.49,1,0,0,0.67,1.11,1.43,31.284,31.249,31.284,29.695,5000,4.7,7,0,3,3,3,4
UTI Children's Career Fund-Savings Plan - Direct Plan,HY-BH,0,0,1,1.52,4,122,2,4037,0.48,-0.64,-1.72,-1.6,1.62,14.2,6.49,9.97,1,0,0,10.02,0.59,0.57,31.006,30.977,32.0,28.948,1000,3.6,3,0,3,3,3,4
UTI Equity Savings Fund - Direct Plan,HY-EQ S,0,0,1,0.7,3,55,4,258,0.35,-0.35,0.07,2.54,6.11,14.67,0.0,0.0,1,0,0,7.96,0.97,1.17,14.417,14.395,14.585,13.142,5000,4.6,5,0,3,3,3,4
UTI Hybrid Equity Fund - Direct Plan,HY-AH,0,0,1,1.35,5,122,3,4287,0.66,-1.55,-2.04,-0.42,4.88,25.83,9.89,12.45,1,0,0,17.81,0.82,0.88,271.239,270.569,284.296,239.698,1000,10.2,5,0,3,3,3,4
UTI Multi Asset Fund - Direct Plan,HY-MAA,0,0,1,1.05,5,122,2,860,0.85,0.74,0.03,1.36,4.85,16.48,7.54,8.54,0,0,1,14.08,0.48,0.53,49.392,49.355,50.551,42.6,5000,1.6,3,0,3,3,3,4
UTI Regular Savings Fund - Direct Plan,HY-CH,0,0,1,1.22,3,122,3,1544,0.06,-0.81,-0.63,0.81,3.65,13.47,7.18,9.41,1,0,0,6.59,0.99,1.22,56.752,56.701,57.505,52.78,5000,10.2,3,0,3,3,3,4
UTI Retirement Benefit Pension Fund - Direct Plan,HY-BH,0,0,1,1.06,4,122,2,3687,0.44,-0.44,-0.4,1.29,5.17,17.19,7.48,9.93,1,0,0,9.45,0.96,1.03,37.947,37.896,38.656,34.694,500,10.2,5,0,3,3,3,4
